Codigo;Materia
EPU002;DESARROLLO URBANO SOSTENIBLE
TSG203;ANTROPOLOGÍA DE LOS ALIMENTOS
TSG203;ANTROPOLOGÍA DE LOS ALIMENTOS
TSG203;ANTROPOLOGÍA DE LOS ALIMENTOS
INS0130;DESIGUALDADES SOCIALES Y POLÍTICAS DE BIENESTAR PARA LA  INCLUSIÓN
TSG201;ÉTICA PROFESIONAL
AE602;DESTINOS Y GEOGRAFIA TURISTICA I
TSG206;CONTROL DE COSTOS Y GASTOS EN CULINARIA
TSG206;CONTROL DE COSTOS Y GASTOS EN CULINARIA
TSG206;CONTROL DE COSTOS Y GASTOS EN CULINARIA
AE703;DESTINOS Y GEOGRAFIA TURISTICA II
TSG205;NUTRICIÓN Y DIETÉTICA
TSG205;NUTRICIÓN Y DIETÉTICA
IA503;DIAGNÓSTICO DE AGUAS
TSG202;FRANCÉS
TSG202;FRANCÉS
TSG202;FRANCÉS
IA600;DIAGNÓSTICO DEL AIRE
TSG305;COCINA NACIONAL
TSG305;COCINA NACIONAL
TSG305;COCINA NACIONAL
TSG305;COCINA NACIONAL
IA601;DIAGNÓSTICO DEL SUELO
TSG304;GESTIÓN DE MERCADEO
TSG304;GESTIÓN DE MERCADEO
TSG304;GESTIÓN DE MERCADEO
CC102;DIBUJO
TSG303;GESTIÓN SERVICIOS GASTRONÓMICOS
TSG303;GESTIÓN SERVICIOS GASTRONÓMICOS
TSG303;GESTIÓN SERVICIOS GASTRONÓMICOS
IA201;DIBUJO
TSG302;PROCESO INVESTIGATIVO
TSG302;PROCESO INVESTIGATIVO
TSG302;PROCESO INVESTIGATIVO
TGC101;DIBUJO
TSG306;PROCESOS EN ALIMENTOS
TSG306;PROCESOS EN ALIMENTOS
ARQA305;DIBUJO ARQUITECTÓNICO
TSG307;PRODUCTOS DE MAR Y RIO
TSG307;PRODUCTOS DE MAR Y RIO
TSG307;PRODUCTOS DE MAR Y RIO
TGC202;DIBUJO ARQUITECTÓNICO
TSG403;COCINA REGIONAL
TSG403;COCINA REGIONAL
TSG403;COCINA REGIONAL
DAI223;DIBUJO ARQUITECTÓNICO I (BAJA COMPLEJIDAD)
TSG402;GESTIÓN DE OPERACIONES GASTRONÓMICAS
TSG402;GESTIÓN DE OPERACIONES GASTRONÓMICAS
DAI332;DIBUJO ARQUITECTÓNICO II (MEDIA ALTA COMPLEJIDAD)
TSG4062;COCINA NATURAL I
DAI442;DIBUJO ARQUITECTÓNICO III (LEVANTAMIENTOS)
TSG405;PASTELERÍA
TSG405;PASTELERÍA
TSG405;PASTELERÍA
TSG405;PASTELERÍA
CC404;DIBUJO ASISTIDO POR COMPUTADOR
TSG404;SELECCIÓN Y PREPARACIÓN DE CARNES II
TSG404;SELECCIÓN Y PREPARACIÓN DE CARNES II
DAI404;DIBUJO DE DETALLES CONSTRUCTIVOS I
TSG4063;COCINA REGIONAL COLOMBIANA I (PACÍFICO)
DAI402;DIBUJO DE ESTRUCTURAS I
TSG505;TENDENCIAS CULINARIAS
DAI501;DIBUJO DE ESTRUCTURAS II
TSG503;COCINA INTERNACIONAL
TSG503;COCINA INTERNACIONAL
DAI220;DIBUJO DE INGENIERÍA I (ESTRUCTURAS DE BAJA COMPLEJIDAD )
TSG502;INNOVACIÓN, CREATIVIDAD Y EMPRENDIMIENTO
TSG502;INNOVACIÓN, CREATIVIDAD Y EMPRENDIMIENTO
TSG502;INNOVACIÓN, CREATIVIDAD Y EMPRENDIMIENTO
DAI330;DIBUJO DE INGENIERÍA II (INSTALACIONES Y DETALLES CONSTRUCTIVOS DE BAJA COMPLEJIDAD)
TSG504;MIXOLOGÍA
TSG504;MIXOLOGÍA
TSG504;MIXOLOGÍA
DAI444;DIBUJO DE INGENIERÍA III (INSTALACIONES Y ESTRUCTURAS DE MEDIA-ALTA COMPLEJIDAD)
TSG5062;COCINA NATURAL II
DAI413;DIBUJO DE INSTALACIONES
TSG5064;COCINA REGIONAL COLOMBIANA II (ANDINA)
DAI503;DIBUJO MECÁNICO I
TSG601;PRACTICA PROFESIONAL
TSG601;PRACTICA PROFESIONAL
DAI602;DIBUJO MECANICO II
ARQA103;DIBUJO PROYECTUAL
INS002;FORMACION DEMOCRATICA Y CIUDADANA
TGC401;DIBUJO TOPOGRÁFICO
DAI333;DIBUJO TOPOGRÁFICO I (MANUAL)
TGTV103;PROCESO INVESTIGATIVO
DAI443;DIBUJO TOPOGRÁFICO II (DIGITAL)
GC515;DINÁMICAS Y PROCESOS GRUPALES
GC313;DISCURSOS DEL DESARROLLO Y PROCESOS DE PLANEACIÓN
ARQA102;DISEÑO ARQUITECTÓNICO I: PRINCIPIOS DEL PROYECTO ARQUITECTÓNICO
ARQA201;DISEÑO ARQUITECTÓNICO II: LA LECTURA DEL LUGAR
ARQA301;DISEÑO ARQUITECTÓNICO III: VIVIENDA Y MODOS DE HABITAR
ARQA402;DISEÑO ARQUITECTÓNICO IV: EL HÁBITAT COLECTIVO
ARQ1002;DISEÑO ARQUITECTONICO IX
TGTV305;COSTOS Y PRESUPUESTOS EN EMPRESA DE TURISMO
ARQA502;DISEÑO ARQUITECTÓNICO V: ESPACIOS DE INTERCAMBIO COMERCIAL
ARQA602;DISEÑO ARQUITECTÓNICO VI: EDIFICIO Y ESPACIO PÚBLICO EN LADERA
ARQA701;DISEÑO ARQUITECTÓNICO VII: LA CIUDAD DENTRO DE LA CIUDAD
ARQA802;DISEÑO ARQUITECTÓNICO VIII: EDIFICIO DE USO MIXTO,MODOS DE HABITAR LA CIUDAD DE HOY
CMA103;INGLÉS III
ICO602;DISEÑO DE CANALES DE DISTRIBUCIÓN LOGÍSTICA
INS0134;DISEÑO ESTRATÉGICO PROSPECTIVO PARA LA GESTIÓN DEL DESARROLLO
BIO501;DISEÑO EXPERIMENTAL
TGTV402;HERRAMIENTAS WEB PARA EL TURISMO
ARQ901;DISEÑO METODOLOGICO
TGTV403;PRINCIPIOS ECONÓMICOS DEL TURISMO
PDS016;DISEÑO Y ANÁLISIS DE DATOS
CMA104;INGLÉS IV
CMA104;INGLÉS IV
PDS018;DISEÑOS DE INVESTIGACIÓN SOCIAL
CV801;DISEÑOS INVESTIGATIVOS
INS075;DIVERSIDAD CULTURAL
TGTV502;GESTIÓN DE LA CALIDAD EN EMPRESAS TURISTICAS
BIO406;ECOFISIOLOGÍA VEGETAL
TGA201;ECOLOGIA
TGTV504;TURISMO SOSTENIBLE
IA301;ECOLOGÍA
ARQA304;ECOLOGÍA URBANA
TGA203;ECONOMIA AMBIENTAL
ARQ1001;ADMINISTRACION DE LA CONSTRUCCION
ARQ1001;ADMINISTRACION DE LA CONSTRUCCION
ARQ1001;ADMINISTRACION DE LA CONSTRUCCION
IA403;ECONOMÍA AMBIENTAL
ARQ1002;DISEÑO ARQUITECTONICO IX
ARQ1002;DISEÑO ARQUITECTONICO IX
